Unnamed: 0,text,label,pred,confidence,correct
390,"Being the good brother he is , he paid for his sister 's loans once he was able to afford it .",0,0,0.9773966,True
2646,Feature films usually have insurance in place by the time principal photography begins .,1,0,0.73501754,False
601,"In most countries , an unincorporated association does not have separate legal personality , and few members of the association usually enjoy limited liability .",1,1,0.97007734,True
1865,"Basketball today is played by more than 300 million people worldwide , making it one of the most popular team sports .",0,0,0.9590948,True
2596,"No firm dates can be assigned to this Emperor 's life or reign , but he is conventionally considered to have reigned from 498 to 506 .",1,1,0.94049174,True
166,The main thing that I wanted to say was to tell you how grateful I am for your friendship .,0,0,0.978019,True
1193,"Historically , Latin or Romance languages have been the official languages in this region .",0,0,0.7707142,True
650,Fireworks dates back to the 7th century and originated in China .,0,0,0.9290458,True
2598,"Under some conditions , such as extremely low temperature , some ceramics exhibit high- temperature superconductivity .",1,1,0.9855409,True
1115,"Some adults travel to other countries to have access to sex with children , which is unavailable in their home country .",0,0,0.94295937,True
1885,The color irresistible is displayed at right .,1,0,0.9732221,False
2392,Healthy gums usually have no reaction to normal disturbance such as brushing .,1,1,0.91431016,True
1971,The first recorded outbreak of chikungunya may have been in 1779 .,1,0,0.7008536,False
630,The 20 in diameter cannon accepted balls that weighed 175 kg .,0,0,0.9082192,True
2287,Dodder can be identified by its thin stems .,1,1,0.9794287,True
2690,Most oomycetes produce two types of spores .,1,1,0.97784173,True
1713,Goaltenders are not permitted to serve as captains during games .,0,0,0.86004025,True
171,"Whenever I need to buy something new , I search for information in a catalogue .",0,0,0.98175174,True
1905,"A traditional design , the grapnel style is simple to design and build .",1,0,0.93161273,False
1372,The name used generally refers to the type of military activity that takes place at the base .,0,0,0.9699682,True
113,There is probably titanium in your eyeglass frames .,1,0,0.8802716,False
351,Florida has beautiful sunsets skies .,0,0,0.9802889,True
374,"Until recently , women were not allowed to vote in that country .",0,0,0.9658012,True
1782,"The silky sifaka has a variable social structure , and lives in groups of two to nine individuals .",0,1,0.9386983,False
438,Governments use different kinds of taxes and vary the tax rates .,0,0,0.92023474,True
1765,"In the knockout phase , teams play against each other over two legs on a home - and - away basis , except for the one-match final .",0,0,0.91044056,True
1700,Standing ovations are also often given in a sporting game to reflect an outstanding individual performance .,0,1,0.77907634,False
2779,Evaporation is an essential part of the water cycle .,1,1,0.7029743,True
844,"In golf , a golfer plays a number of holes in a given order .",0,0,0.96724755,True
2617,SIDS rates are higher in babies of mothers who smoke during pregnancy .,1,1,0.5472539,True
2010,"Before the unification of Egypt , the land was settled with autonomous villages .",1,1,0.9649819,True
1191,"After that , many people contributed code to the project .",0,0,0.9826041,True
1518,"Birdsong died on June 4 , 2019 , as a result of injuries sustained in a car crash .",0,0,0.9296104,True
836,"Though never intended as a teaching tool , various viewers used the knowledge they obtained watching the show .",0,0,0.9621167,True
272,"If I were an engineer , I would look for a chemical safer than water to use for geothermal energy production .",1,1,0.9590852,True
1952,"A common-use facility or terminal design disallows airlines to have its own proprietary check - in counters , gates and IT systems .",1,1,0.8974962,True
2811,The sarus crane is easily distinguished from other cranes in the region by the overall grey color and the contrasting red head and upper neck .,1,1,0.96719736,True
1680,Heavy rotation or power rotation is a list of songs that get the most airplay on a radio station .,0,0,0.9402686,True
647,The methods used cover both static and dynamic situations .,0,0,0.90587175,True
2516,The court has ruled that the $ 2.7 billion in school funding was inadequate and distributed unfairly .,1,1,0.82638985,True
8,She put lip balm on her dry lips .,0,0,0.9787859,True
826,"Many species have five petals , often grown together .",0,0,0.7029736,True
1600,There are major differences between the political system of the United States and that of most other developed democracies .,0,1,0.9491888,False
1710,Shortage of rain during the highly variable Monsoon season can cause droughts in U. P. leading to several deaths and loss of property .,0,1,0.92477083,False
1208,The atoms in metals have a strong attractive force between them .,0,1,0.9713009,False
2788,"As well as industrial uses , maritime pine is also a popular ornamental tree , planted in parks and gardens in areas with warm temperate climates .",1,1,0.97508156,True
729,"In computing , at least internally , metric time gained widespread use for ease of computation .",1,1,0.9670865,True
2643,"The Founding Fathers wanted republicanism because its ideas guaranteed liberty , with limited powers checking and balancing each other .",1,1,0.9697565,True
1046,"In the world , breast cancer is the fifth-most common cause of cancer death .",0,1,0.512321,False
2765,Distributed shared memory systems mimic these mechanisms in an attempt to maintain consistency between blocks of memory in loosely coupled systems .,1,1,0.98547965,True
1853,"There was just two entries in the Quad doubles , and they played a straight final to decided the championship .",0,0,0.90822583,True
1158,Butter cakes are often made by beating the butter and sugar until fluffy .,0,0,0.9052951,True
2307,"The sea contains a number of reefs , uninhabited islands and significant hydrocarbon reserves .",1,1,0.97758466,True
2049,"From the hypostyle hall , one enters the second pillared hall , which has four pillars decorated with beautiful scenes of offerings to the gods .",1,1,0.931882,True
1479,"As an architectural ornament , spires are most often found on Christian churches .",0,1,0.9758413,False
2276,"The earliest anchors were probably rocks , and many rock anchors have been found dating from at least the Bronze Age .",1,1,0.881014,True
1849,The song was given mixed reviews from music critics .,0,0,0.97191834,True
1778,They are considered one of the most successful groups of studio musicians in music history .,0,0,0.95826745,True
1272,"On Friday , drivers had a 45 - minute free practice session and a 30 - minute qualifying session .",0,0,0.9672133,True
694,"Once boot options have been selected , GRUB loads the selected kernel into memory and passes control to the kernel .",1,1,0.7685008,True
1474,"Kodkods are active during the day and night , but they only go into open ground under the cover of darkness .",0,1,0.7743526,False
221,"All the bicycles in front of the station had been locked , so they were removed using tools .",0,0,0.9762815,True
2518,"In his first form , Frieza is a relatively short humanoid , albeit with a large chestnut - shaped skull with two horns .",1,1,0.92448443,True
1808,Seventy students and teachers going to the United States for summer camp were among the Chinese passengers .,0,0,0.97748166,True
667,Car rentals are subject to many conditions which vary from one brand to another .,0,0,0.9506048,True
1028,The movie became very popular before it was released because of the title and because of many people talked about it on the Internet .,0,0,0.9759753,True
1887,"Historic Scotland had direct responsibility for maintaining and running over 360 monuments in its care , about a quarter of which are manned and charge admission entry .",1,1,0.87364125,True
1612,Insect respiration happens without lungs .,0,1,0.97835493,False
696,"Passes are synced between iOS devices using iCloud , and OS X 10.8.2 and later also support opening passes to be sent to users ' iOS devices .",1,0,0.83914006,False
2186,Oats are grown all over temperate places .,1,0,0.9736008,False
1460,The shrinking generator takes a different approach .,0,0,0.6034648,True
2757,"One of the primary industries in the town is tourism , most notably scuba diving .",1,0,0.9587913,False
605,"The fur coloring of the lar gibbon varies from black and dark - brown to light - brown , sandy colors .",1,1,0.86636466,True
2608,Natural selection has driven the diversification of the toxins to counter the defences of the prey .,1,1,0.9833798,True
749,The protected area is part of the Terai-Duar savanna and grasslands ecoregion .,1,1,0.8967577,True
907,"After World War II , the countries in Europe wanted to live peacefully together and help one another 's economies .",0,0,0.6353688,True
1433,Points are awarded to drivers and teams based on their finishing order .,0,0,0.96314394,True
2357,"Zero-fare public transport services are funded in full by means other than collecting a fare from passengers , normally through heavy subsidy or commercial sponsorship by businesses .",1,1,0.9326398,True
2517,Short 's unsolved murder and the details surrounding it have had caused many theories and public speculation .,1,1,0.9383858,True
2237,There are various modifications that can be implemented atop the fundamentals of the battle royale .,1,1,0.758548,True
943,"He and his wife Mary have three children and , as of July 2016 , six grandchildren .",0,0,0.95610684,True
2192,Most species of the sea snakes are able to respire through the top of their skin .,1,1,0.9509342,True
1487,The simplest form of term life insurance is a one-year contract .,0,0,0.8187287,True
141,Her shelf was crowded with swimming trophies .,0,0,0.9798324,True
1703,Several explanations exist for the original name .,0,0,0.9611006,True
1133,"Since measurings begun in 1905 , several November records for deep snow were broken .",0,0,0.63102585,True
136,"George knew he was good at playing hide and seek , and advised Tina to hide between the wall and the tree .",0,0,0.9726299,True
1349,"He died of pneumonia and heart failure on 7 January 2018 , aged 61 .",0,0,0.92927146,True
733,"The individual mineral grains in schist , drawn out into flaky scales by heat and pressure , can be seen by the naked eye .",1,1,0.9755096,True
255,"If it were n't so important , she would not keep reminding you to work on it .",0,0,0.97906464,True
280,Petting animals is good for relaxing people under stress .,0,0,0.9727843,True
1611,Food power is part of food politics .,0,0,0.9653058,True
976,This lake is considered healing and is appreciated by some local people .,0,0,0.96391135,True
